ID,Urbanizacion,Manzana,Lote,Estado,Cuota
37-2-4,37,2,4,Vendido,"650,000"
37-2-5,37,2,5,Vendido,"400,000"
37-2-6,37,2,6,Vendido,"400,000"
37-2-7,37,2,7,Vendido,"600,000"
37-2-8,37,2,8,Vendido,"600,000"
37-2-9,37,2,9,Vendido,"650,000"
37-2-10,37,2,10,Vendido,"600,000"
37-2-11,37,2,11,Vendido,"650,000"
37-2-12,37,2,12,Vendido,"800,000"
37-3-1,37,3,1,Vendido,"500,000"
37-3-4,37,3,4,Vendido,"450,000"
37-3-5,37,3,5,Vendido,"450,000"
37-3-6,37,3,6,Vendido,"580,000"
37-3-7,37,3,7,Vendido,"500,000"
37-3-8,37,3,8,Vendido,"550,000"
37-3-9,37,3,9,Vendido,"500,000"
37-4-2,37,4,2,Vendido,"400,000"
37-4-6,37,4,6,Vendido,"450,000"
37-4-7,37,4,7,Vendido,"450,000"
37-4-8,37,4,8,Vendido,"450,000"
37-4-9,37,4,9,Vendido,"450,000"
37-6-1,37,6,1,Vendido,"250,000"
37-6-2,37,6,2,Vendido,"250,000"
37-6-3,37,6,3,Vendido,"250,000"
37-6-9,37,6,9,Vendido,"280,000"
37-6-10,37,6,10,Vendido,"450,000"
37-6-11,37,6,11,Vendido,"450,000"
37-6-12,37,6,12,Vendido,"450,000"
37-6-13,37,6,13,Vendido,"450,000"
37-6-14,37,6,14,Vendido,"500,000"
37-6-15,37,6,15,Vendido,"350,000"
37-7-1,37,7,1,Vendido,"550,000"
37-7-2,37,7,2,Vendido,"550,000"
37-7-4,37,7,4,Vendido,"500,000"
37-7-5,37,7,5,Vendido,"400,000"
37-7-6,37,7,6,Vendido,"350,000"
37-7-7,37,7,7,Vendido,"400,000"
37-7-8,37,7,8,Vendido,"350,000"
37-7-9,37,7,9,Vendido,"420,000"
37-7-10,37,7,10,Vendido,"350,000"
37-7-11,37,7,11,Vendido,"350,000"
37-7-12,37,7,12,Vendido,"350,000"
37-7-13,37,7,13,Vendido,"330,000"
37-7-14,37,7,14,Vendido,"330,000"
37-7-15,37,7,15,Vendido,"330,000"
37-7-16,37,7,16,Vendido,"380,000"
37-7-17,37,7,17,Vendido,"380,000"
37-7-18,37,7,18,Vendido,"330,000"
37-8-1,37,8,1,Vendido,"330,000"
37-8-2,37,8,2,Vendido,"350,000"
37-8-3,37,8,3,Vendido,"300,000"
37-8-4,37,8,4,Vendido,"300,000"
37-8-5,37,8,5,Vendido,"1,625,000"
37-8-6,37,8,6,Vendido,"380,000"
37-8-7,37,8,7,Vendido,"300,000"
37-8-8,37,8,8,Vendido,"330,000"
37-9-2,37,9,2,Vendido,"350,000"
37-9-3,37,9,3,Vendido,"400,000"
37-9-4,37,9,4,Vendido,"350,000"
37-9-5,37,9,5,Vendido,"600,000"
37-9-6,37,9,6,Vendido,"600,000"
37-9-7,37,9,7,Vendido,"350,000"
37-9-8,37,9,8,Vendido,"300,000"
37-9-9,37,9,9,Vendido,"300,000"
37-10-1,37,10,1,Vendido,"360,000"
37-10-2,37,10,2,Vendido,"360,000"
37-10-3,37,10,3,Vendido,"350,000"
37-10-4,37,10,4,Vendido,"400,000"
37-10-5,37,10,5,Vendido,"350,000"
37-10-6,37,10,6,Vendido,"350,000"
37-10-7,37,10,7,Vendido,"350,000"
37-10-8,37,10,8,Vendido,"330,000"
37-10-9,37,10,9,Vendido,"300,000"
37-10-10,37,10,10,Vendido,"300,000"
37-11-1,37,11,1,Vendido,"450,000"
37-11-2,37,11,2,Vendido,"350,000"
37-11-3,37,11,3,Vendido,"350,000"
37-11-4,37,11,4,Vendido,"350,000"
37-11-5,37,11,5,Vendido,"500,000"
37-11-6,37,11,6,Vendido,"450,000"
37-11-7,37,11,7,Vendido,"400,000"
37-11-8,37,11,8,Vendido,"400,000"
37-11-10,37,11,10,Vendido,"330,000"
37-11-12,37,11,12,Vendido,"350,000"
37-12-2,37,12,2,Vendido,"550,000"
37-12-3,37,12,3,Vendido,"600,000"
37-12-4,37,12,4,Vendido,"600,000"
37-12-5,37,12,5,Vendido,"550,000"
37-12-6,37,12,6,Vendido,"600,000"
37-12-7,37,12,7,Vendido,"450,000"
37-12-8,37,12,8,Vendido,"450,000"
37-12-9,37,12,9,Vendido,"350,000"
37-12-10,37,12,10,Vendido,"350,000"
37-13-2,37,13,2,Vendido,"350,000"
37-13-3,37,13,3,Vendido,"350,000"
37-13-4,37,13,4,Vendido,"450,000"
37-13-6,37,13,6,Vendido,"550,000"
37-13-7,37,13,7,Vendido,"550,000"
37-14-5,37,14,5,Vendido,"280,000"
37-15-2,37,15,2,Vendido,"400,000"
37-15-3,37,15,3,Vendido,"350,000"
37-15-4,37,15,4,Vendido,"350,000"
37-15-5,37,15,5,Vendido,"400,000"
37-15-6,37,15,6,Vendido,"400,000"
37-15-7,37,15,7,Vendido,"400,000"
37-15-8,37,15,8,Vendido,"400,000"
37-15-9,37,15,9,Vendido,"270,000"
37-15-10,37,15,10,Vendido,"270,000"
37-15-11,37,15,11,Vendido,"270,000"
37-16-2,37,16,2,Vendido,"400,000"
37-16-3,37,16,3,Vendido,"400,000"
37-16-4,37,16,4,Vendido,"400,000"
37-16-5,37,16,5,Vendido,"450,000"
37-16-7,37,16,7,Vendido,"500,000"
37-16-8,37,16,8,Vendido,"550,000"
37-16-9,37,16,9,Vendido,"400,000"
37-16-10,37,16,10,Vendido,"400,000"
37-16-11,37,16,11,Vendido,"400,000"
